round,accuracy,energy,time
1,59.04,91.65792909776548,31.926691080146757
2,75.42,96.63007951393031,28.352760321108846
3,84.64,114.1033799900758,30.148526456751583
4,87.6,109.30300417507146,23.544807995345977
5,89.27,107.43496865659986,28.721772436793607
6,90.51,98.17808612249104,29.449959496593216
7,91.2,101.19286262231932,31.463587005820607
8,91.73,93.56410840045945,31.125150884537163
9,92.32,100.04911902350925,27.950861627389575
10,92.69,107.192296689974,27.191470418650322
