device_id,round,compute_time_s,comm_time_s,comp_energy_J,comm_energy_J
2,1,3.1897196769714355,18.0905127500151,6.1813601530445895e-27,16.412212704133324
2,2,4.811387062072754,17.50065819177652,7.91255414692784e-27,15.877080361115237
2,3,4.794638633728027,17.481205366199738,7.497216998079381e-27,15.859432220596815
2,4,4.790435791015625,18.42902275291568,7.760963095671936e-27,16.719318326116124
2,5,4.7753684520721436,16.141914671765807,7.596137958272098e-27,14.64439072047694
3,1,3.4167423248291016,18.980050193462585,3.3752499966774144e-27,20.289883318759415
3,3,4.830162286758423,18.07272584753173,3.5546623991292985e-27,19.319943570257184
3,4,4.777435064315796,18.48812302668204,3.861108808764153e-27,19.764007743428056
3,5,4.741034507751465,17.556715333260303,4.6952361519698554e-27,18.768322630422873
4,1,1.2291929721832275,26.88853580388708,2.1574553632448804e-27,37.31353972203917
1,2,4.656616449356079,27.699213217953872,8.963162588585339e-27,26.27752002647949
0,2,4.722295761108398,10.05951202573067,2.728119169317786e-27,6.6238019422238095
0,3,4.826704025268555,10.157185854467835,3.005659396269122e-27,6.688116403485829
0,4,4.7516162395477295,11.739794675260962,2.447371922324593e-27,7.730203470347168
0,5,4.781828880310059,10.3483560955429,3.184883856171127e-27,6.813994657907065
